fórmula,probabilidade Monte Carlo de ficar no top 5,média Monte Carlo do score final,desvio Monte Carlo do score final,limite inferior IC95 da probabilidade top 5,limite superior IC95 da probabilidade top 5,largura do IC95 da probabilidade top 5
Fe0.89La0.11,0.5266666666666666,0.5599542495209476,0.016488301349217457,0.4701440879001321,0.5825036641335308,0.1123595762333987
Fe0.90La0.10,0.5066666666666667,0.5599581903288333,0.015876776869499582,0.45032693247724404,0.562835005319959,0.11250807284271497
Fe0.91La0.09,0.48333333333333334,0.5602560005826991,0.017257383265174214,0.42731951699438175,0.5397756383281174,0.11245612133373561
Fe0.92La0.08,0.4266666666666667,0.5573729010361534,0.017596873737350135,0.3719520558857454,0.48326660940681854,0.11131455352107311
Fe0.93La0.07,0.48333333333333334,0.5596237106185402,0.016184434591045196,0.42731951699438175,0.5397756383281174,0.11245612133373561
Fe0.94La0.06,0.53,0.5603016312905559,0.016920121510657818,0.4734556274033554,0.5857730939047288,0.11231746650137336
Fe0.95La0.05,0.4866666666666667,0.5587047617607837,0.01704255102242508,0.4305988675585072,0.5430772567627805,0.11247838920427333
Fe0.96La0.04,0.47,0.558994208721456,0.01744395890352258,0.4142269060952713,0.5265443725966445,0.11231746650137325
Fe0.97La0.03,0.4066666666666667,0.556475547240219,0.017165147960461678,0.3525853847382133,0.46314744639699595,0.11056206165878263
Fe0.99La0.01,0.47333333333333333,0.5591757729117198,0.017691481452793704,0.4174963358664691,0.5298559120998678,0.1123595762333987
