fórmula,descritor,sensibilidade do score
Fe0.89La0.11,score_estabilidade,0.2983243562436355
Fe0.89La0.11,score_atividade,0.42432435624363496
Fe0.89La0.11,score_seletividade,0.38232435624363514
Fe0.89La0.11,score_DFT_refinado,0.4983243562436357
Fe0.89La0.11,score_incerteza,0.3963243562436336
Fe0.90La0.10,score_estabilidade,0.2969507165347385
Fe0.90La0.10,score_atividade,0.4229507165347379
Fe0.90La0.10,score_seletividade,0.3809507165347381
Fe0.90La0.10,score_DFT_refinado,0.49695071653473866
Fe0.90La0.10,score_incerteza,0.3949507165347388
Fe0.91La0.09,score_estabilidade,0.29554709927373857
Fe0.91La0.09,score_atividade,0.42154709927374023
Fe0.91La0.09,score_seletividade,0.3795470992737382
Fe0.91La0.09,score_DFT_refinado,0.49554709927373874
Fe0.91La0.09,score_incerteza,0.3935470992737389
Fe0.92La0.08,score_estabilidade,0.29411351011700226
Fe0.92La0.08,score_atividade,0.42011351011700393
Fe0.92La0.08,score_seletividade,0.3781135101170019
Fe0.92La0.08,score_DFT_refinado,0.49411351011700244
Fe0.92La0.08,score_incerteza,0.3921135101170048
Fe0.93La0.07,score_estabilidade,0.2926499548297268
Fe0.93La0.07,score_atividade,0.418649954829724
Fe0.93La0.07,score_seletividade,0.3766499548297264
Fe0.93La0.07,score_DFT_refinado,0.49264995482972695
Fe0.93La0.07,score_incerteza,0.3906499548297271
Fe0.94La0.06,score_estabilidade,0.29115643928511403
Fe0.94La0.06,score_atividade,0.4171564392851135
Fe0.94La0.06,score_seletividade,0.37515643928511366
Fe0.94La0.06,score_DFT_refinado,0.4911564392851142
Fe0.94La0.06,score_incerteza,0.38915643928511434
Fe0.95La0.05,score_estabilidade,0.2896329694635935
Fe0.95La0.05,score_atividade,0.4156329694635952
Fe0.95La0.05,score_seletividade,0.37363296946359315
Fe0.95La0.05,score_DFT_refinado,0.4896329694635937
Fe0.95La0.05,score_incerteza,0.3876329694635938
Fe0.96La0.04,score_estabilidade,0.2882561914615578
Fe0.96La0.04,score_atividade,0.41425619146155723
Fe0.96La0.04,score_seletividade,0.3722561914615574
Fe0.96La0.04,score_DFT_refinado,0.48825619146155796
Fe0.96La0.04,score_incerteza,0.3862561914615581
Fe0.97La0.03,score_estabilidade,0.2868587438586223
Fe0.97La0.03,score_atividade,0.412858743858624
Fe0.97La0.03,score_seletividade,0.37085874385862416
Fe0.97La0.03,score_DFT_refinado,0.4868587438586225
Fe0.97La0.03,score_incerteza,0.3848587438586226
Fe0.99La0.01,score_estabilidade,0.28678737121773157
Fe0.99La0.01,score_atividade,0.412787371217731
Fe0.99La0.01,score_seletividade,0.3707873712177312
Fe0.99La0.01,score_DFT_refinado,0.48678737121773175
Fe0.99La0.01,score_incerteza,0.3847873712177319
