fórmula,regime operacional,conversão média na faixa (%),seletividade média na faixa (%),rendimento médio na faixa (%),score da faixa de condição
Ni0.89Y0.11,baixa_temperatura,41.010077640192414,84.98169900895992,34.90317043428736,0.5236949188905116
Ni0.89Y0.11,equilibrado,46.59925569510506,90.6198498001712,42.24310089831153,0.5849858748758685
Ni0.89Y0.11,alta_conversao,51.724269681194144,88.20349946108065,45.59708504234988,0.6082988322350682
Ni0.89Y0.11,alta_pressao,48.741325270670615,90.6198498001712,44.18492721854016,0.5993796321388167
Ni0.90Y0.10,baixa_temperatura,40.99505517050579,84.98169900895992,34.89038499592713,0.5235964726966842
Ni0.90Y0.10,equilibrado,46.58218584431764,90.6198498001712,42.2276267578263,0.5848711730512631
Ni0.90Y0.10,alta_conversao,51.705322478017244,88.20349946108065,45.58038229835957,0.6081729351903897
Ni0.90Y0.10,alta_pressao,48.72347075481749,90.6198498001712,44.16874176442886,0.5992596577130702
Ni0.91Y0.09,baixa_temperatura,40.97970388708954,84.98169900895992,34.877319708263876,0.5234958717000296
Ni0.91Y0.09,equilibrado,46.56474236646232,90.6198498001712,42.21181391738352,0.5847539606185135
Ni0.91Y0.09,alta_conversao,51.68596055604432,88.20349946108065,45.56331396258169,0.6080442824951643
Ni0.91Y0.09,alta_pressao,48.705225437047616,90.6198498001712,44.152202041036745,0.5991370572718143
Ni0.92Y0.08,baixa_temperatura,40.96402378994371,84.98169900895992,34.863974571297575,0.5233931159005475
Ni0.92Y0.08,equilibrado,46.546925261539144,90.6198498001712,42.19566237698318,0.5846342375776198
Ni0.92Y0.08,alta_conversao,51.66618391527531,88.20349946108065,45.54588003501629,0.6079128741493921
Ni0.92Y0.08,alta_pressao,48.68658931736096,90.6198498001712,44.13530804836386,0.599011830815049
Ni0.93Y0.07,baixa_temperatura,40.948014879068296,84.98169900895992,34.850349585028226,0.5232882052982376
Ni0.93Y0.07,equilibrado,46.528734529548124,90.6198498001712,42.17917213662528,0.5845120039285819
Ni0.93Y0.07,alta_conversao,51.64599255571028,88.20349946108065,45.52808051566335,0.6077787101530732
Ni0.93Y0.07,alta_pressao,48.66756239575759,90.6198498001712,44.11805978641018,0.5988839783427746
Ni0.94Y0.06,baixa_temperatura,40.93167715446326,84.98169900895992,34.83644474945583,0.5231811398931003
Ni0.94Y0.06,equilibrado,46.510170170489204,90.6198498001712,42.16234319630982,0.5843872596713998
Ni0.94Y0.06,alta_conversao,51.62538647734922,88.20349946108065,45.509915404522864,0.6076417905062074
Ni0.94Y0.06,alta_pressao,48.648144672237464,90.6198498001712,44.1004572551757,0.5987534998549907
Ni0.95Y0.05,baixa_temperatura,40.91501061612863,84.98169900895992,34.822260064580405,0.5230719196851356
Ni0.95Y0.05,equilibrado,46.49123218436243,90.6198498001712,42.145175556036804,0.5842600048060739
Ni0.95Y0.05,alta_conversao,51.60436568019209,88.20349946108065,45.49138470159483,0.6075021152087949
Ni0.95Y0.05,alta_pressao,48.628336146800564,90.6198498001712,44.08250045466043,0.5986203953516972
Ni0.96Y0.04,baixa_temperatura,40.89994787506349,84.98169900895992,34.80944035174745,0.522973209582376
Ni0.96Y0.04,equilibrado,46.47411657369421,90.6198498001712,42.129659933359804,0.58414499549537
Ni0.96Y0.04,alta_conversao,51.585367684435376,88.20349946108065,45.47463718184264,0.6073758806665113
Ni0.96Y0.04,alta_pressao,48.610433767581384,90.6198498001712,44.06627161150841,0.5985000993053644
Ni0.97Y0.03,baixa_temperatura,40.88465803663714,84.98169900895992,34.79642735915598,0.5228730112508962
Ni0.97Y0.03,equilibrado,46.45674291503845,90.6198498001712,42.11391038533334,0.5840282522166673
Ni0.97Y0.03,alta_conversao,51.56608326041927,88.20349946108065,45.45763716372204,0.6072477429160852
Ni0.97Y0.03,alta_pressao,48.59226147845249,90.6198498001712,44.04979808995161,0.5983779895841785
Ni0.99Y0.01,baixa_temperatura,40.88387710402934,84.98169900895992,34.79576271706125,0.5228678935941808
Ni0.99Y0.01,equilibrado,46.455855550752275,90.6198498001712,42.11310597293414,0.584022289522325
Ni0.99Y0.01,alta_conversao,51.565098303278674,88.20349946108065,45.45676888322664,0.6072411982460366
Ni0.99Y0.01,alta_pressao,48.591333323900216,90.6198498001712,44.04895670040973,0.5983717527973439
