fórmula,probabilidade Monte Carlo de ficar no top 5,média Monte Carlo do score final,desvio Monte Carlo do score final,limite inferior IC95 da probabilidade top 5,limite superior IC95 da probabilidade top 5,largura do IC95 da probabilidade top 5
Ni0.89Y0.11,0.39,0.6517996978694746,0.011081234742779986,0.3365181094296177,0.4463098509060531,0.10979174147643539
Ni0.90Y0.10,0.42333333333333334,0.6525804095532491,0.011018042652445425,0.3687178446421085,0.4799198489909023,0.11120200434879379
Ni0.91Y0.09,0.43333333333333335,0.6526396310810808,0.011412712928056108,0.37842813322863034,0.48995247464920455,0.11152434142057421
Ni0.94Y0.06,0.5166666666666667,0.6557552385364118,0.014780528020695967,0.46022436167188263,0.5726804830056182,0.11245612133373561
Ni0.92Y0.08,0.36666666666666664,0.6515595730015953,0.01150084837857626,0.314136120736131,0.4226250027725112,0.10848888203638019
Ni0.95Y0.05,0.5366666666666666,0.6561296418905413,0.013686908296992433,0.48008616885314953,0.5923044913024436,0.11221832244929403
Ni0.93Y0.07,0.38333333333333336,0.6514215425681805,0.0107836597839417,0.3301097512666944,0.4395562579964571,0.1094465067297627
Ni0.96Y0.04,0.44,0.6541678351991891,0.013802283679290322,0.3849143697529926,0.496628179816136,0.1117138100631434
Ni0.97Y0.03,0.47,0.6540471885904205,0.014065935280987997,0.4142269060952713,0.5265443725966445,0.11231746650137325
Ni0.99Y0.01,0.5466666666666666,0.6555612968192741,0.015417826759660157,0.4900506892315143,0.6020828801078304,0.1120321908763161
