fórmula,regime operacional,conversão média na faixa (%),seletividade média na faixa (%),rendimento médio na faixa (%),score da faixa de condição
Fe0.89La0.11,reforma_moderada,31.602802150390755,65.09189196139549,20.579525317610166,0.3834254604385799
Fe0.89La0.11,reforma_padrao,44.78972010973997,68.02577843860452,30.480200568515535,0.47467681746032003
Fe0.89La0.11,alta_temperatura,53.89976201832566,69.96752940238945,37.71421083963403,0.538644268799373
Fe0.89La0.11,maior_tempo_contato,44.78972010973997,68.02577843860452,30.480200568515535,0.47467681746032003
Fe0.90La0.10,reforma_moderada,31.591917251864853,65.09189196139549,20.572437147272375,0.38336065633346295
Fe0.90La0.10,reforma_padrao,44.774293263852115,68.02577843860452,30.46970232571229,0.47458361534835897
Fe0.90La0.10,alta_temperatura,53.88119741644801,69.96752940238945,37.70122099917557,0.538531040870487
Fe0.90La0.10,maior_tempo_contato,44.774293263852115,68.02577843860452,30.46970232571229,0.47458361534835897
Fe0.91La0.09,reforma_moderada,31.580794103293822,65.09189196139549,20.56519383015955,0.3832944337878402
Fe0.91La0.09,reforma_padrao,44.758528753196885,68.02577843860452,30.458974296033624,0.4744883732167019
Fe0.91La0.09,alta_temperatura,53.86222647020026,69.96752940238945,37.687946835434886,0.538415334594274
Fe0.91La0.09,maior_tempo_contato,44.758528753196885,68.02577843860452,30.458974296033624,0.4744883732167019
Fe0.92La0.08,reforma_moderada,31.569432704677684,65.09189196139549,20.557795366271705,0.3832267928017123
Fe0.92La0.08,reforma_padrao,44.74242657777425,68.02577843860452,30.448016479479545,0.4743910910653492
Fe0.92La0.08,alta_temperatura,53.84284917958245,69.96752940238945,37.67438834841203,0.5382971499707342
Fe0.92La0.08,maior_tempo_contato,44.74242657777425,68.02577843860452,30.448016479479545,0.4743910910653492
Fe0.93La0.07,reforma_moderada,31.557833056016424,65.09189196139549,20.550241755608837,0.38315773337507864
Fe0.93La0.07,reforma_padrao,44.72598673758423,68.02577843860452,30.43682887605005,0.47429176889430064
Fe0.93La0.07,alta_temperatura,53.823065544594556,69.96752940238945,37.66054553810695,0.5381764869998673
Fe0.93La0.07,maior_tempo_contato,44.72598673758423,68.02577843860452,30.43682887605005,0.47429176889430064
Fe0.94La0.06,reforma_moderada,31.545995157310042,65.09189196139549,20.542532998170934,0.38308725550793926
Fe0.94La0.06,reforma_padrao,44.70920923262682,68.02577843860452,30.425411485745133,0.4741904067035563
Fe0.94La0.06,alta_temperatura,53.802875565236576,69.96752940238945,37.646418404519686,0.5380533456816737
Fe0.94La0.06,maior_tempo_contato,44.70920923262682,68.02577843860452,30.425411485745133,0.4741904067035563
Fe0.95La0.05,reforma_moderada,31.533919008558545,65.09189196139549,20.534669093958012,0.3830153592002946
Fe0.95La0.05,reforma_padrao,44.69209406290202,68.02577843860452,30.413764308564787,0.4740870044931159
Fe0.95La0.05,alta_temperatura,53.782279241508505,69.96752940238945,37.63200694765022,0.5379277260161531
Fe0.95La0.05,maior_tempo_contato,44.69209406290202,68.02577843860452,30.413764308564787,0.4740870044931159
Fe0.96La0.04,reforma_moderada,31.52300493041852,65.09189196139549,20.527561922058126,0.3829503813720348
Fe0.96La0.04,reforma_padrao,44.67662586160706,68.02577843860452,30.403237922671998,0.4739935525302578
Fe0.96La0.04,alta_temperatura,53.76366487270674,69.96752940238945,37.61898228476956,0.537814194552304
Fe0.96La0.04,maior_tempo_contato,44.67662586160706,68.02577843860452,30.403237922671998,0.4739935525302578
Fe0.97La0.03,reforma_moderada,31.511926303320564,65.09189196139549,20.520347597019427,0.38288442388852706
Fe0.97La0.03,reforma_padrao,44.6609244499235,68.02577843860452,30.392552832965016,0.47389869161440257
Fe0.97La0.03,alta_temperatura,53.744769859497865,69.96752940238945,37.60576125214728,0.5376989514016016
Fe0.97La0.03,maior_tempo_contato,44.6609244499235,68.02577843860452,30.392552832965016,0.47389869161440257
Fe0.99La0.01,reforma_moderada,31.511360459463422,65.09189196139549,20.519979123428747,0.3828810550923263
Fe0.99La0.01,reforma_padrao,44.660122496100946,68.02577843860452,30.392007089135895,0.4738938465676251
Fe0.99La0.01,alta_temperatura,53.74380479161892,69.96752940238945,37.60508598435205,0.5376930653267002
Fe0.99La0.01,maior_tempo_contato,44.660122496100946,68.02577843860452,30.392007089135895,0.4738938465676251
